Title,Abstract,Published Date
"Subaru Super Deep Field with Adaptive Optics I. Observations and First
  Implications","We present a deep $K^{\prime}$-band (2.12$\mu$m) imaging of 1\arcmin\
$\times$ 1\arcmin Subaru Super Deep Field (SSDF) taken with the Subaru adaptive
optics (AO) system. Total integration time of 26.8 hours results in the
limiting magnitude of $K^{\prime} \sim 24.7$ (5$\sigma$, 0\farcs2 aperture) for
point sources and $K^{\prime} \sim 23.5$ (5$\sigma$, 0\farcs6 aperture) for
galaxies, which is the deepest limit ever achieved in the $K^{\prime}$ band.
The average stellar FWHM of the co-added image is 0\farcs18. Based on the
photometric measurements of detected galaxies, we obtained the differential
galaxy number counts, for the first time, down to $K^{\prime} \sim 25$, which
is more than 0.5 mag deeper than the previous data. We found that the number
count slope $d\log N/dm$ is about 0.15 at $22 < K^{\prime} < 25$, which is
flatter than the previous data. Therefore, detected galaxies in the SSDF have
only negligible contribution to the near-infrared extragalactic background
light (EBL), and the discrepancy claimed so far between the diffuse EBL
measurements and the estimated EBL from galaxy count integration has become
more serious . The size distribution of detected galaxies was obtained down to
the area size of less than 0.1 arcsec$^2$, which is less than a half of the
previous data in the $K^{\prime}$ band. We compared the observed size-magnitude
relation with a simple pure luminosity evolution model allowing for intrinsic
size evolution, and found that a model with no size evolution gives the best
fit to the data. It implies that the surface brightness of galaxies at high
redshift is not much different from that expected from the size-luminosity
relation of present-day galaxies.",2005-05-17T15:12:42Z
"Lifting the Iron Curtain : Toward an Understanding of the Iron Stars XX
  Oph and AS 325","We present new optical, near infrared, and archival ultraviolet observations
of XX Ophiuchi and AS 325, two proposed iron stars. These unusual stars have
optical spectra dominated by emission lines arising from hydrogen as well as
ionized metals such as iron, chromium, and titanium. Both stars have been
classified as iron stars and a number of exotic models have been presented for
their origin. Using two years of moderately high resolution optical
spectroscopy, the first high signal-to-noise K-band spectroscopy of these
sources (which reveals stellar photospheric absorption lines), and new
near-infrared interferometric observations, we confirm that both systems are
composed of two stars, likely binaries, containing a hot Be star with an
evolved late-type secondary. The hydrogen emission features arise in the hot
wind from the Be star while the corresponding P-Cygni absorption lines are
produced from dense material in the expanding, radiation driven, wind around
each system. The optical FeII emission lines are pumped by ultraviolet FeII
absorption lines through fluorescence. Contrary to some claims in the
literature, the spectral features of XX Oph and AS 325 are quite similar,
evidence that they are comparable systems. We examine the variability of the
spectral morphology and radial velocity motions of both sources. We also study
the variability of XX Oph during a major photometric event and find that the
spectral nature of the system varies during the event. A comparison of the
velocity of the absorption line components in our new spectra with those in the
literature show that the structure of the stellar wind from XX Oph has changed
since the system was observed in 1951.",2005-02-17T00:52:47Z
"Cooling of Quark Stars in the Color Superconductive Phase: Effect of
  Photons from Glueball decay","The cooling history of a quark star in the color superconductive phase is
investigated. Here we specifically focus on the 2-flavour color (2SC) phase
where novel process of photon generation via glueball (GLB) decay have been
already investigated (Ouyed & Sannino 2001). The picture we present here can in
principle be generalized to quark stars entering a superconductive phase where
similar photon generation mechanisms are at play. As much as 10^{45}-10^{47}
erg of energy is provided by the GLB decay in the 2SC phase. The generated
photons slowly diffuse out of the quark star keeping it hot and radiating as a
black-body (with possibly a Wien spectrum in gamma-rays) for millions of years.
We discuss hot radio-quiet isolated neutron stars in our picture (such as RX
J185635-3754 and RX J0720.4-3125) and argue that their nearly blackbody spectra
(with a few broad features) and their remarkably tiny hydrogen atmosphere are
indications that these might be quark stars in the color superconductive phase
where some sort of photon generation mechanism (reminiscent of the GLB decay)
has taken place. Fits to observed data of cooling compact stars favor models
with superconductive gaps of Delta_2SC = 15-35 MeV and densities
rho_2SC=(2.5-3.0)rho_N (rho_N being the nuclear matter saturation density) for
quark matter in the 2SC phase. If correct, our model combined with more
observations of isolated compact stars could provide vital information to
studies of quark matter and its exotic phases.",2005-04-18T14:41:46Z
"Fragmentation and Evolution of Molecular Clouds. I: Algorithm and First
  Results","We present a series of simulations of the fragmentation of a molecular cloud,
leading to the formation of a cluster of protostellar cores. The purpose of
these simulations is to address a specific numerical problem called artificial
fragmentation, that plagues SPH simulations of cloud fragmentation. We argue
that this is a serious problem that needs to be addressed, and that the only
reasonable and practical way to address it is to use a relatively new technique
called particle splitting. Our largest simulation has an effective resolution
of 256^3 particles (much higher than most previous SPH simulations of cloud
fragmentation) and results in the formation of a dense cluster containing ~3000
protostellar cores. It is the first simulation of this kind to properly resolve
the Jeans mass throughout the entire system, at all times, thus preventing
artificial fragmentation.",2005-04-30T17:58:42Z
"Constraints from Galaxy-AGN Clustering on the Correlation between Galaxy
  and Black Hole Mass at Redshifts 2<Z<3","We use the clustering of galaxies around distant active-galactic nuclei to
derive an estimate of the relationship between galaxy and black hole mass that
obtained during the ancient quasar epoch, at redshifts 2 <~ z <~ 3, when giant
black holes accreted much of their mass. Neither the mean relationship nor its
scatter differs significantly from what is observed in the local universe, at
least over the ranges of apparent magnitude (16 <~ G_AB <~ 26) and black-hole
mass (10^6 <~ M_BH/M_sun <~ 10^10.5) that we are able to probe.",2005-05-26T22:46:45Z
109 new Galactic open clusters,"We present a list of 130 Galactic Open Clusters, found in the All-Sky
Compiled Catalogue of 2.5 Million Stars (ASCC-2.5). For these clusters we
determined and publish a homogeneous set of astrophysical parameters such as
size, membership, motion, distance and age. In a previous work 520 already
known open clusters out of the sample of 1700 clusters from the literature were
confirmed in the ASCC-2.5 using independent, objective methods. Using these
methods the whole sky was systematically screened for the search of new
clusters. The newly detected clusters show the same distribution over the sky
as the known ones. It is found, that without the {\em a-priori} knowledge about
existing clusters our search lead to clusters which are, {\em on average},
brighter, have more members and cover larger angular radii than the 520
previously known ones.",2005-05-02T13:33:38Z
"Observational evidence of the formation of cyanopolyynes in CRL618
  through the polimerization of HCN","The abundance ratio of consecutive members of the cyanopolyynes family has
been explored in CRL618 using data acquired in a complete line survey covering
the frequency range 81-356 GHz. The Jup range explored for the different
molecules is the following: 1 to 4 for HCN and HNC, 9 to 39 for HC3N, 31 to 133
for HC5N, and 72 to 85 for HC7N (not detected beyond Jup=85). The lowest
vibrationally excited state of HC7N (nu_15 at 62 cm^-1) has been tentatively
detected. Data analysis has been performed by extending our previous
geometrical and radiative transfer model of the slowly expanding envelope (SEE)
surrounding the compact central continuum source of CRL 618, that was
established from the study of rotational lines in several vibrationally excited
states of HC_3N. The new lines analyzed here require to model the high velocity
wind (HVW) component and the colder circumstellar gas, remnant of the AGB phase
of CRL618. The derived HC3N/HC5N and HC5N/HC7N abundance ratios from this set
of uniformly calibrated lines are between 3 and 6 in the different regions,
similar to standard values in the CSM and ISM, and consistent with previous
estimates obtained from ISO observations and chemical models. However, the
abundance ratios of HC3N, HC5N and HC7N with respect to HCN are at least two
orders of magnitude larger than those typical for AGB C-rich stars, such as
IRC+10216. This fact indicates that, in the short transition toward the
Planetary Nebula phase, HCN is quickly reprocessed into longer cyanopolyyne
chains. A similar behavior was previously found in this object for the
polyacetylenic chains (C(2n)H2).",2005-04-11T10:09:33Z
"The Connection between Ultraviolet and X-ray Outflows in AGN: the case
  of PDS 456","High-velocity outflows from AGN are a well-known phenomena in terms of the
Broad Absorption Lines seen in the UV/optical. More recently, similar, possibly
related, outflows have been reported in the X-ray. The most extreme example is
seen in the nearby, luminous QSO PDS 456, which displays a massive, high
velocity (50000 km s-1), high-ionization X-ray outflow of 10 solar masses yr-1.
Here we present the UV spectrum of PDS 456 as observed by the Hubble Space
Telescope. We find the UV spectrum is also extreme, displaying very broad
emission-lines, with CIV 1549 blueshifted by 5000 km s-1 and a broad Ly-alpha
absorption trough blueshifted by 14000-24000 km s-1. No strong, broad
high-ionization absorption features are seen. We interpret the combined UV and
X-ray spectrum of PDS 456 as the signature of a decelerating, cooling outflow,
which may be driven by radiation and/or magnetic field. This outflow may be the
source of some of the broad emission and absorption-line gas.",2005-03-14T12:39:13Z
"VLT-FORS1 Imaging Polarimetry of M83 (NGC 5236) - I. Search for Light
  Echoes from Historical Supernovae","We have used FORS1 at the ESO VLT to search for light echoes in imaging
polarimetry from four historical supernovae in the face-on nearby spiral galaxy
M83 (NGC 5236). No echoes were detected around our targets (SN 1923A, SN 1945B,
SN 1950B and SN 1957D). This implies that the interstellar medium in their
environs is rather tenuous (a few particles/cm^3), possibly as a result of
previous supernova explosions that could have cleared the immediate vicinities
of our targets. The merits and limitations of searching for light echoes in
imaging polarimetry are discussed. From the photometry of the sources detected
at the supernova locations, we estimate star cluster masses of 720, 400, 300 Mo
for the cluster progenitors of SN 1957D, SN 1923A, and SN 1950B, respectively,
and an upper limit of few tens of solar masses for SN 1945B.",2005-05-05T15:00:14Z
Polarisation profiles of southern pulsars at 3.1 GHz,"We present polarisation profiles for 48 southern pulsars observed with the
new 10-cm receiver at the Parkes telescope. We have exploited the low system
temperature and high bandwidth of the receiver to obtain profiles which have
good signal to noise for most of our sample at this relatively high frequency.
Although, as expected, a number of profiles are less linearly polarised at 3.1
GHz than at lower frequencies, we identify some pulsars and particular
components of profiles in other pulsars which have increased linear
polarisation at this frequency. We discuss the dependence of linear
polarisation with frequency in the context of a model in which emission
consists of the superposition of two, orthogonally polarised modes. We show
that a simple model, in which the orthogonal modes have different spectral
indices, can explain many of the observed properties of the frequency evolution
of both the linear polarisation and the total power, such as the high degree of
linear polarisation seen at all frequencies in some high spin-down, young
pulsars. Nearly all the position angle profiles show deviations from the
rotating vector model; this appears to be a general feature of high-frequency
polarisation observations.",2005-02-17T01:28:01Z
"Anti-de Sitter curvature radius constrained by quasars in brane-world
  scenarios","This paper is intended to investigate the luminosity due to accretion of gas
in supermassive black holes (SMBHs) in the center of quasars, using a
brane-world scenario naturally endowed with extra dimensions, whereon theories
formulated introduce corrections in the field equations at high energies. SMBHs
possess the necessary highly energetic environment for the introduction of
these corrections, which are shown to produce small deviations in all SMBH
properties and, consequentely, corrections in the accretion theory that
supports quasars radiative processes. The radiative flux observed from quasars
indicates these deviations, from which the magnitude of the AdS$_5$ bulk
curvature radius, and consequently the extra dimension compactification radius
is estimated.",2005-05-06T18:10:28Z
"Chandra Detection of the First X-ray Forest along the Line of Sight To
  Mkn 421","We present the first >=3.5 sigma (conservative) or >=5.8 sigma (sum of lines
significance) detection of two Warm-Hot Intergalactic Medium (WHIM) filaments
at z>0, which we find along the line of sight to the blazar Mkn 421. These
systems are detected through highly ionized resonant metal absorption in high
quality Chandra-ACIS and -HRC Low Energy Transmission Grating (LETG) spectra of
Mkn 421, obtained following our two Target of Opportunity requests during two
outburst phases.
  The two intervening WHIM systems that we detect, have OVII and NVII columns
of N(OVII)=(1.0 +/- 0.3) x 1e15 cm-2} N(NVII)=(0.8 +/- 0.4) x 1e15 cm-2, and
N(OVII)=(0.7 +/- 0.3) x 1e15 cm-2, N(NVII)=(1.4 +/- 0.5) x 1e15 cm-2
respectively.
  From the detected number of WHIM filaments along this line of sight we can
estimate the number of OVII filaments per unit redshift with columns larger
than 7e14 cm-2, dP(OVII)/dz(N(OVII)>=7e14) = 67^{+88}_{-43}, consistent, within
the large 1-sigma errors, with the hydrodynamical simulation predictions of
dP(OVII)/dz(N(OVII)>=7e14) = 30. Finally, we measure a cosmological mass
density of X-ray WHIM filaments Omega_b = 0.027^{+0.038}_{-0.019} x
10^{[O/H]_{-1}}, consistent with both model predictions and the estimated
number of 'missing' baryons at low redshift.",2005-04-07T18:37:31Z
"Elemental Abundance Ratios in Stars of the Outer Galactic Disk. II.
  Field Red Giants","We summarize a selection process to identify red giants in the direction of
the southern warp of the Galactic disk, employing VI_C photometry and
multi-object spectroscopy. We also present results from follow-up
high-resolution, high-S/N echelle spectroscopy of three field red giants,
finding [Fe/H] values of about -0.5. The field stars, with Galactocentric
distances estimated at 10 to 15 kpc, support the conclusion of Yong, Carney, &
de Almeida (2005) that the Galactic metallicity gradient disappears beyond R_GC
values of 10 to 12 kpc for the older stars and clusters of the outer disk. The
field and cluster stars at such large distances show very similar abundance
patterns, and, in particular, all show enhancements of the ""alpha"" elements O,
Mg, Si, Ca, and Ti and the r-process element Eu. These results suggest that
Type II supernovae have been significant contributors to star formation in the
outer disk relative to Type Ia supernovae within the past few Gyrs. We also
compare our results with those available for much younger objects. The limited
results for the H II regions and B stars in the outer disk also suggest that
the radial metallicity gradient in the outer disk is shallow or absent. The
much more extensive results for Cepheids confirm these trends, and that the
change in slope of the metallicity gradient may occur at a larger
Galactocentric distance than for the older stars and clusters. However, the
younger stars also show rising alpha element enhancements with increasing R_GC,
at least beyond 12 kpc. These trends are consistent with the idea of a
progressive growth in the size of the Galactic disk with time, and episodic
enrichment by Type II supernovae as part of the disk's growth. [Abridged]",2005-06-09T16:23:24Z
Metallicity Estimates for Old Star Clusters in M33,"Using the theoretical stellar population synthesis models of BC96, Kong et
al. (2003) showed that some BATC colors and color indices could be used to
disentangle the age and metallicity effect. They found that there is a very
good relation between the flux ratio of L_{8510}/L_{9170} and the metallicity
for stellar populations older than 1 Gyr. In this paper, based on the Kong et
al. results and on the multicolor spectrophotometry of Ma et al. (2001,
2002a,b,c), we estimate the metallicities of 31 old star clusters in the nearby
spiral galaxy M33, 23 of which are ``true'' globular clusters. The results show
that most of these old clusters are metal poor. We also find that the ages and
metal abundance for these old star clusters of M33 do not vary with deprojected
radial position.",2005-03-29T10:05:01Z
"Morphologies of Ultracompact HII Regions in W49A and Sgr B2: Prevalence
  of Shells and a Modified Classification Scheme","We have used Very Large Array (VLA) observations of the massive star forming
regions W49A and Sgr B2, obtained with resolutions from 2\farcs0 to 0\farcs04,
to classify the morphologies of nearly 100 ultracompact HII regions. These high
resolution, multi-frequency, multi-configuration VLA observations motivate
several modifications of the existing morphological classification scheme for
UC HII regions. In this work, we describe the modified morphology scheme and
the criteria used in source classification. In particular, we drop the
``core-halo'' classification, add a ``bipolar'' classification, and change the
shell classification to ``shell-like''. We tally the percentage of each
morphology found in the Sgr B2 and W49A regions and find broad agreement with
the Galactic plane surveys in the distribution of morphologies for most types.
However, we find that nearly a third of the sources in these regions are
shell-like, which is a higher percentage by nearly a factor of ten than found
in the surveys of Galactic plane star forming regions by Wood & Churchwell
(1989a) and Kurtz et al. (1994). This difference may be due to physical
differences in the environments of these two extreme star forming regions.
Alternatively, differences in observational technique may be responsible.",2005-04-10T14:20:42Z
Spiral density wave generation by vortices in Keplerian flows,"We perform a detailed analytical and numerical study of the dynamics of
perturbations (vortex/aperiodic mode, Rossby and spiral-density waves) in 2D
compressible disks with a Keplerian law of rotation. We draw attention to the
process of spiral-density wave generation from vortices, discussing, in
particular, the initial, most peculiar stages of wave emission. We show that
the linear phenomenon of wave generation by vortices in smooth (without
inflection points) shear flows found by using the so-called non-modal approach,
is directly applicable to the present case. After an analytical non-modal
description of the physics and characteristics of the spiral-density wave
generation/propagation in the local shearing-sheet model, we follow the process
of wave generation by small amplitude coherent circular vortex structures, by
direct global numerical simulation, describing the main features of the
generated waves.",2005-03-22T14:12:01Z
"Discovery of multiple ultraluminous X-ray sources in the galaxy KUG
  0214-057","We report the serendipitous discovery of several unresolved X-ray sources
lying in the prominent spiral arms of the galaxy KUG 0214-057 in XMM-Newton
observations. The location of these X-ray sources strongly suggests that at
least three, and possibly four, of these may be physically related to the
galaxy. The luminosity of each of these sources at the distance of KUG 0214-057
is > 5 x 10^39 erg/s (0.3-10 keV), making each a strong candidate ultraluminous
X-ray source (ULX). Using the ULXs as a metric implies that this relatively
low-mass galaxy may be experiencing rather intense starburst activity. The
serendipitous discovery of these ULXs suggests that such objects are not a
negligible component of the overall extragalactic X-ray source population.",2005-04-15T16:39:07Z
The star formation history of damped Lyman alpha absorbers,"The local power law relationship between the surface densities of neutral
hydrogen gas and star formation rate (SFR) can be used to explore the SFR
properties of damped Lyman alpha (DLA) systems at higher redshift. We find that
while the SFR densities for DLA systems are consistent with luminous star
forming galaxies at redshifts below z~0.6, at higher redshifts their SFR
density is too low for them to provide a significant contribution to the cosmic
star formation history (SFH). This suggests that the majority of DLAs may be a
distinct population from the Lyman break galaxies (LBGs) or submillimeter
star-forming galaxies that together dominate the SFR density at high redshift.
It is also possible that the DLAs do not trace the bulk of the neutral gas at
high redshift. The metallicity properties of DLAs are consistent with this
interpretation. The DLAs show a metal mass density lower by two orders of
magnitude at all redshifts than that inferred from the SFH of the universe.
These results are consistent with DLAs being dominated by low mass systems
having low SFRs or a late onset of star formation, similar to the star
formation histories of dwarf galaxies in the local universe.",2005-05-19T19:53:16Z
Interstellar Grains -- The 75th Anniversary,"The year of 2005 marks the 75th anniversary since Trumpler (1930) provided
the first definitive proof of interstellar grains by demonstrating the
existence of general absorption and reddening of starlight in the galactic
plane. This article reviews our progressive understanding of the nature of
interstellar dust.",2005-03-25T21:26:39Z
Results of a Search for Cold Flows of Dark Matter Axions,"Theoretical arguments predict that the distribution of cold dark matter in
spiral galaxies has peaks in velocity space associated with non-thermalized
flows of dark matter particles. We searched for the corresponding peaks in the
spectrum of microwave photons from axion to photon conversion in the cavity
detector of dark matter axions. We found none and place limits on the density
of any local flow of axions as a function of the flow velocity dispersion over
the axion mass range 1.98 to 2.17 $\mu$eV.",2005-05-11T22:03:41Z
Formation and evolution of primordial black holes after hybrid inflation,"We examine the formation and evolution of primordial black holes (PBH's)
after hybrid inflation. Our goal is to assess the effects of various
theoretical uncertainties on the extrapolation from a given inflation model to
a spectrum of primordial black hole masses. The context of our work is an
examination of the possibility [Chen and Adler (2003), MacGibbon (1987)] that
the dark matter is comprised of Planck-mass black hole remnants (BHR's). As an
example we focus on a particular scenario [Chen (2003)] in which the black
holes form from quantum perturbations that were generated during hybrid
inflation. We find the correspondence between hybrid inflation parameters and
the range of initial PBH masses that would allow BHR's to comprise the dark
matter, taking account of the possible early presence of radiation and its
accretion onto the PBH's.",2005-04-27T18:27:27Z
"An Investigation of Diffuse Interstellar Gas toward a Large, Low
  Extinction Window into the Inner Galaxy","Halpha and Hbeta spectroscopy with the Wisconsin H-Alpha Mapper (WHAM)
reveals a strong concentration of high velocity emission in a ~ 5 by 5 deg area
centered near (l.b) = (27,-3), known as the Scutum Cloud. The high velocities
imply that we are detecting optical emission from near the plane of the Galaxy
out to the tangent point at heliocentric distances of D \gtrsim 6 kpc, assuming
the gas participates in circular Galactic rotation. The ratio of the Halpha to
Hbeta emission as a function of velocity suggests that dust along these lines
of sight produces a total visual extinction of A_v ~ 3 at D ~ 6 kpc. This makes
it possible to use optical emission lines to explore the physical conditions of
ionized gas in the inner Galaxy. At a Galactocentric distance R_G ~ 4 kpc, for
example, we find that the H^+ has an rms midplane density of ~ 1 cm^-3 with a
vertical scale height of ~ 300 pc. We also find evidence for an increase in the
flux of Lyman continuum photons and an increase in the ratio of ionized to
neutral hydrogen toward the inner Galaxy. We have extended the measurements of
E(B-V) in this direction to distances far beyond what has been accessible
through stellar photometry and find E(B-V)/N_H to be near the local mean of 1.7
x 10^-22 cm^2 mag, with evidence for an increase in this ratio at R_G ~ 4 kpc.
Finally, our observations of [NII] 6583, [SII] 6716, and [OIII] 5007 toward the
window reveal that in the inner Galaxy the temperature of the gas and the
ionization state of oxygen increase with increasing height from the midplane.",2005-05-24T05:50:47Z
AGN-driven convection in galaxy-cluster plasmas,"This paper describes how active galactic nuclei can heat galaxy-cluster
plasmas by driving convection in the intracluster medium. A model is proposed
in which a central supermassive black hole accretes intracluster plasma at the
Bondi rate and powers a radio source. The central radio source produces cosmic
rays, which mix into the thermal plasma. The cosmic-ray luminosity is
proportional to the mass accretion rate. The cosmic-ray pressure gradient
drives convection, which causes plasma heating. It is assumed that plasma
heating balances radiative cooling. The plasma heating rate is self-regulating
because the Bondi accretion rate is a decreasing function of the specific
entropy near the cluster center; if heating exceeds cooling, then the central
entropy increases, the Bondi rate and cosmic-ray luminosity decrease, and the
convective heating rate is reduced. This paper focuses on the role of
intracluster magnetic fields, which affect convection by causing heat and
cosmic rays to diffuse primarily along magnetic field lines. A new stability
criterion is derived for convection in a thermal-plasma/cosmic-ray fluid, and
equations for the average fluid properties in a convective cluster are obtained
with the use of a nonlocal two-fluid mixing length theory. Numerical solutions
of the model equations compare reasonably well with observations without
requiring fine tuning of the model parameters.",2005-06-04T18:39:29Z
