Title,Abstract,Published Date
Debris Disk Radiative Transfer Simulation Tool (DDS),"A WWW interface for the simulation of spectral energy distributions of
optically thin dust configurations with an embedded radiative source is
presented. The density distribution, radiative source, and dust parameters can
be selected either from an internal database or defined by the user. This tool
is optimized for studying circumstellar debris disks where large grains are
expected to determine the far-infrared through millimeter dust reemission
spectral energy distribution. The tool is available at
http://aida28.mpia-hd.mpg.de/~swolf/dds",2005-06-17T10:07:41Z
Neutron star matter equation of state and gravitational wave emission,"The EOS of strongly interacting matter at densities ten to fifteen orders of
magnitude larger than the typical density of terrestrial macroscopic objects
determines a number of neutron star properties, including the pattern of
gravitational waves emitted following the excitation of nonradial oscillation
modes. This paper reviews some of the approaches employed to model neutron star
matter, as well as the prospects for obtaining new insights from the
experimental study of gravitational waves emitted by neutron stars.",2005-07-21T07:55:50Z
Testing the Friedmannian magnitude-redshift relation with SNIa data,"Standard cosmology is constructed upon the (generally implicit) assumption of
the ``large scale'' homogeneity of our Universe. Now, structures are observed
at scales which become larger and larger as the observational distances
increase. However, the homogeneous Friedmann-Lemaitre-Robertson-Walker model
remains a cosmological paradigm, and Friedmannian relations are usually used to
work out the model, implicitly assuming that the homogeneity assumption is
valid at the studied scales. This has been the way the concordance (Lambda-CDM)
model came out from the analyses of the SNIa data. Since this model implies the
validity of the Friedmannian magnitude-redshift relation at the range of
redshifts spaned by the supernovae surveys, it has been proposed some years ago
a very simple test of this possible validity, provided the SNIa should be
confirmed as standard candles. Since we can hope that the redshifts of the
supernovae which will be observed in the years to come will allow such a test
to be performed, it would be interesting to find inside the SNIa community some
collaborators ready to perform the test.",2005-04-21T16:39:38Z
A helium spread among the main sequence stars in NGC 2808,"We studied the color distribution of the main sequence of the Globular
Cluster NGC 2808, based on new deep HST-WFPC2 photometry of a field in the
uncrowded outskirts of the cluster. The color distribution of main sequence
stars is wider than expected for a single stellar population, given our
(carefully determined) measurement errors. About 20% of the sample stars are
much bluer than expected and are most plausibly explained as a population
having a much larger helium abundance than the bulk of the main sequence. We
estimate that the helium mass fraction of these stars is Y ~ 0.4. NGC 2808 may
have suffered self-enrichment, with different stellar populations born from the
ejecta of the intermediate mass asymptotic giant branch (AGB) stars of the
first generation. In addition to the Y=0.40 stars, roughly 30% of the stars
should have Y distributed between 0.26-0.29 while 50% have primordial Y, to
explain also the peculiar horizontal branch morphology. Three main stages of
star formation are identified, the first with primordial helium content Y ~
0.24, the second one born from the winds of the most massive AGBs of the first
stellar generation (6-7msun), having Y ~ 0.4, and a third one born from the
matter ejected from less massive AGBs (~ 3.5-4.5msun) with Y ~ 0.26-0.29. For a
long hiatus of time (several 10^7yr) between the second and third generation,
star formation might have been inhibited by the explosion of late Supernovae II
deriving from binary evolution.",2005-05-17T14:15:15Z
A universal velocity distribution of relaxed collisionless structures,"Several general trends have been identified for equilibrated,
self-gravitating collisionless systems, such as density or anisotropy profiles.
These are integrated quantities which naturally depend on the underlying
velocity distribution function (VDF) of the system. We study this VDF through a
set of numerical simulations, which allow us to extract both the radial and the
tangential VDF. We find that the shape of the VDF is universal, in the sense
that it depends only on two things namely the dispersion (radial or tangential)
and the local slope of the density. Both the radial and the tangential VDF's
are universal for a collection of simulations, including controlled collisions
with very different initial conditions, radial infall simulation, and
structures formed in cosmological simulations.",2005-05-19T20:00:11Z
"Scalar Field Models: From the Pioneer Anomaly to Astrophysical
  Constraints","In this work we study how scalar fields may affect solar observables, and use
the constraint on the Sun's central temperature to extract bounds on the
parameters of relevant models. Also, a scalar field driven by a suitable
potential is shown to produce an anomalous acceleration similar to the one
found in the Pioneer anomaly.",2005-05-17T00:25:38Z
Nonlinear Evolution of the Magnetothermal Instability in Two Dimensions,"In weakly magnetized, dilute plasmas in which thermal conduction along
magnetic field lines is important, the usual convective stability criterion is
modified. Instead of depending on entropy gradients, instability occurs for
small wavenumbers when (dP/dz)(dln T/dz) > 0, which we refer to as the Balbus
criterion. We refer to the convective instability that results in this regime
as the magnetothermal instability (MTI). We use numerical MHD simulations which
include anisotropic electron heat conduction to follow the growth and
saturation of the MTI in two-dimensional, plane parallel atmospheres that are
unstable according to the Balbus criterion. The linear growth rates measured in
the simulations agree with the weak field dispersion relation. We investigate
the effect of strong fields and isotropic conduction on the linear properties
and nonlinear regime of the MTI. In the nonlinear regime, the instability
saturates and convection decays away, when the atmosphere becomes isothermal.
Sustained convective turbulence can be driven if there is a fixed temperature
difference between the top and bottom edges of the simulation domain, and if
isotropic conduction is used to create convectively stable layers that prevent
the formation of unresolved, thermal boundary layers. The largest component of
the time-averaged heat flux is due to advective motions. These results have
implications for a variety of astrophysical systems, such as the temperature
profile of hot gas in galaxy clusters, and the structure of radiatively
inefficient accretion flows.",2005-07-08T16:43:52Z
"XBootes: An X-Ray Survey of the NDWFS Bootes Field - Paper I Overview
  and Initial Results","We obtained a 5 ksec deep Chandra X-ray Observatory ACIS-I map of the 9.3
square degree Bootes field of the NOAO Deep Wide-Field Survey. Here we describe
the data acquisition and analysis strategies leading to a catalog of 4642
(3293) point sources with 2 or more (4 or more) counts, corresponding to a
limiting flux of roughly 4(8)x10^{-15} erg cm^{-2}s^{-1} in the 0.5-7 keV band.
These Chandra XBootes data are unique in that they consitute the widest
contiguous X-ray field yet observed to such a faint flux limit. Because of the
extraordinarily low background of the ACIS, we expect only 14% (0.7%) of the
sources to be spurious. We also detected 43 extended sources in this survey.
The distribution of the point sources among the 126 pointings (ACIS-I has a 16
x 16 arcminute field of view) is consistent with Poisson fluctuations about the
mean of 36.8 sources per pointing. While a smoothed image of the point source
distribution is clumpy, there is no statistically significant evidence of large
scale filamentary structure. We do find however, that for theta>1 arcminute,
the angular correlation function of these sources is consistent with previous
measurements, following a power law in angle with slope -0.7. In a 1.4 deg^{2}
sample of the survey, approximately 87% of the sources with 4 or more counts
have an optical counterpart to R ~26 mag. As part of a larger program of
optical spectroscopy of the NDWFS Bootes area, spectra have been obtained for
\~900 of the X-ray sources, most of which are QSOs or AGN.",2005-04-04T21:17:44Z
Imaging redshifts of BL Lac objects,"The HST snapshot imaging survey of 110 BL Lac objects (Urry et al. 2000) has
clearly shown that the host galaxies are massive and luminous ellipticals. The
dispersion of the absolute magnitudes is sufficiently small, so that the
measurement of the galaxy brightness becomes a valuable way of estimating their
distance. This is illustrated constructing the Hubble diagram of the 64
resolved objects with known redshift. By means of this relationship we estimate
the redshift of five resolved BL Lacs of the survey, which have no
spectroscopic z. The adopted method allows us also to evaluate lower limits to
the redshift for 13 objects of still unknown z, based on the lower limit on the
host galaxy magnitude. This technique can be applied to any BL Lac object for
which an estimate or a lower limit of the host galaxy magnitude is available.
Finally we show that the distribution of the nuclear luminosity of all the BL
Lacs of the survey, indicates that the objects for which both the redshift and
the host galaxy are undetected, are among the most luminous, and possibly the
most highly beamed.",2005-08-09T10:20:19Z
"The chemistry of fluorine-bearing molecules in diffuse and dense
  interstellar gas clouds","We present a theoretical investigation of the chemistry of fluorine-bearing
molecules in diffuse and dense interstellar gas clouds. The chemistry of
interstellar fluorine is qualitatively different from that of any other
element, because - unlike the neutral atoms of any other element found in
diffuse or dense molecular clouds - atomic fluorine undergoes an exothermic
reaction with molecular hydrogen. Over a wide range of conditions attained
within interstellar gas clouds, the product of that reaction - hydrogen
fluoride - is predicted to be the dominant gas-phase reservoir of interstellar
fluorine nuclei. Our model predicts HF column densities ~ 1.E+13 cm-2 in dark
clouds and column densities as large as 1.E-11 cm-2 in diffuse interstellar gas
clouds with total visual extinctions as small as 0.1 mag. Such diffuse clouds
will be detectable by means of absorption line spectroscopy of the J = 1 - 0
transition at 243.2 micron using the Stratospheric Observatory for Infrared
Astronomy (SOFIA) and the Herschel Space Observatory (HSO). The CF+ ion is
predicted to be the second most abundant fluorine-bearing molecule, with
typical column densities a factor ~ 100 below those of HF; with its lowest two
rotational transitions in the millimeter-wave spectral region, CF+ may be
detectable from ground-based observatories. HF absorption in quasar spectra is
a potential probe of molecular gas at high redshift, providing a possible
bridge between the UV/optical observations capable of probing H2 in low column
density systems and the radio/millimeter-wavelength observations that probe
intervening molecular clouds of high extinction and large molecular fraction;
at redshifts beyond ~ 0.3, HF is potentially detectable from ground-based
submillimeter observatories in several atmospheric transmission windows.",2005-04-13T19:44:03Z
"Testing homogeneity on large scales in the Sloan Digital Sky Survey Data
  Release One","The assumption that the universe is homogeneous and isotropic on large scales
is one of the fundamental postulates of cosmology. We have tested the large
scale homogeneity of the galaxy distribution in the Sloan Digital Sky Survey
Data Release One (SDSS-DR1) using volume limited subsamples extracted from the
two equatorial strips which are nearly two dimensional (2D). The galaxy
distribution was projected on the equatorial plane and we carried out a 2D
multi-fractal analysis by counting the number of galaxies inside circles of
different radii in the range 5 Mpc/h to 150 Mpc/h centred on galaxies.
Different moments of the count-in-cells were analysed to identify a range of
length-scales (60-70 Mpc/h to 150Mpc/h) where the moments show a power law
scaling behaviour and to determine the scaling exponent which gives the
spectrum of generalised dimension D_q. If the galaxy distribution is
homogeneous, D_q does not vary with q and is equal to the Euclidean dimension
which in our case is 2. We find that D_q varies in the range 1.7 to 2.2. We
also constructed mock data from random, homogeneous point distributions and
from LCDM N-body simulations with bias b=1, 1.6 and 2, and analysed these in
exactly the same way. The values of D_q in the random distribution and the
unbiased simulations show much smaller variations and these are not consistent
with the actual data. The biased simulations, however, show larger variations
in D_q and these are consistent with both the random and the actual data.
Interpreting the actual data as a realisation of a biased LCDM universe, we
conclude that the galaxy distribution is homogeneous on scales larger than
60-70 Mpc/h.",2005-04-14T04:56:19Z
"The N2K Consortium. II. A Transiting Hot Saturn Around HD 149026 With a
  Large Dense Core","Doppler measurements from Subaru and Keck have revealed radial velocity
variations in the V=8.15, G0IV star HD 149026 consistent with a Saturn-Mass
planet in a 2.8766 day orbit. Photometric observations at Fairborn Observatory
have detected three complete transit events with depths of 0.003 mag at the
predicted times of conjunction. HD 149026 is now the second brightest star with
a transiting extrasolar planet. The mass of the star, based on interpolation of
stellar evolutionary models, is 1.3 +/- 0.1 solar masses; together with the
Doppler amplitude, K=43.3 m s^-1, we derive a planet mass Msin(i)=0.36 Mjup,
and orbital radius of 0.042 AU. HD 149026 is chromospherically inactive and
metal-rich with spectroscopically derived [Fe/H]=+0.36, Teff=6147 K, log g=4.26
and vsin(i)=6.0 km s^-1. Based on Teff and the stellar luminosity of 2.72 Lsun,
we derive a stellar radius of 1.45 Rsun. Modeling of the three photometric
transits provides an orbital inclination of 85.3 +/- 1.0 degrees and (including
the uncertainty in the stellar radius) a planet radius of 0.725 +/- 0.05 Rjup.
Models for this planet mass and radius suggest the presence of a ~67 Mearth
core composed of elements heavier than hydrogen and helium. This substantial
planet core would be difficult to construct by gravitational instability.",2005-06-30T23:26:10Z
"XMM-Newton observations of the Lockman Hole IV: spectra of the brightest
  AGN","This paper presents the results of a detailed X-ray spectral analysis of a
sample of 123 X-ray sources (46 being type-1 AGN and 28 type-2 AGN) detected
with XMM-Newton in the Lockman Hole field. Using a single power law model our
sources' average spectral slope hardens at faint 0.5-2 keV fluxes but not at
faint 2-10 keV fluxes. We explain the effect in terms of an increase in X-ray
absorption at faint fluxes. The average spectral slope of our sources is ~1.9
with an intrinsic dispersion of ~0.28. We detected X-ray absorption in 37% of
the sources, ~10% in type-1 AGN and ~77% in type-2 AGN. Using X-ray fluxes
corrected for absorption, the fraction of absorbed objects and the absorbing
column density distribution did not vary with X-ray flux. Our type-1 and type-2
AGN do not appear to have different continuum shapes, but the distribution of
intrinsic absorption is different among both classes. A significant fraction of
our type-2 AGN (5 out of 28) were found to display no substantial absorption.
We discuss possible interpretations to this in terms of Compton-thick AGN and
intrinsic Broad Line Region properties. An emission line compatible with Fe
Kalpha was detected in 8 sources with rest frame equivalent widths 120-1000 eV.
The AGN continuum or intrinsic absorption did not depend on X-ray luminosity
and/or redshift. Soft excess emission was detected in 18 objects, but only in 9
could we fit this spectral component with a black body model. The 0.5-2 keV
luminosities of the fitted black body were not significantly different in
type-1 and type-2 AGN, although the temperatures were slightly higher in type-2
AGN than in type-1 AGN. For 9 sources (including 1 type-1 AGN and 3 type-2 AGN)
a scattering model provided a better fit of the soft excess emission.",2005-06-29T10:20:18Z
"High resolution numerical modeling of the force-free pulsar
  magnetosphere","We consider the force-free magnetosphere of an aligned rotator. Its structure
is well described by a Grad-Shafranov equation for poloidal magnetic field, the
so-called ""pulsar equation"". We solve this equation by a multigrid method with
high numerical resolution. On the fine numerical grid current layer along the
last closed field line could be accurately incorporated into the numerical
procedure and all physical properties of the solution such as Goldreich-Julian
charge density, drift velocity, energy losses etc. could be accurately
calculated. Here we report results of the simulations. Among other interesting
properties, the solution is not unique, i.e. the position of the last closed
field line, and hence the pulsar energy losses, are not determined by the
global magnetosphere structure and depend on kinetic of electromagnetic
cascades. We discuss the properties of the solutions and their implications for
pulsars. A model for pulsar magnetosphere evolution is proposed. In the frame
of this model values of the pulsar braking index less than 3 have natural
explanation.",2005-07-03T20:26:48Z
"A photometric study of V1193 Ori: detection of orbital and negative
  superhump periods","We present the results obtained from unfiltered photometric CCD observations
of V1193 Ori made during 24 nights between November 2002 and January 2003. We
found periods of 0.1430 d, 0.1362 d and possibly 2.98 d in the data. The 0.1430
d period is consistent with the 1d^{-1} alias of the proposed orbital period of
P_{orb}=0.165 d (Ringwald et al., 1994, Papadaki et al., 2004). Thus and using
the known relation between the orbital and superhump periods, we interpret
these periods as the orbital period of 0.1430 d, the negative superhump period
of 0.1362 d and the precession period of 2.98 d. V1193 Ori can then be
classified as a permanent superhump system.",2005-07-05T07:03:53Z
Asphericity and clumpiness in the winds of Luminous Blue Variables,"We present the first systematic spectropolarimetric study of Luminous Blue
Variables (LBVs) in the Galaxy and the Magellanic Clouds, in order to
investigate the geometries of their winds. We find that at least half of our
sample show changes in polarization across the strong H$\alpha$ emission line,
indicating that the light from the stars is intrinsically polarized and
therefore that asphericity already exists at the base of the wind. Multi-epoch
spectropolarimetry on four targets reveals variability in their intrinsic
polarization. Three of these, AG Car, HR Car and P Cyg, show a position angle
(PA) of polarization which appears random with time. Such behaviour can be
explained by the presence of strong wind-inhomogeneities, or `clumps' within
the wind. Only one star, R 127, shows variability at a constant PA, and hence
evidence for axi-symmetry as well as clumpiness. However, if viewed at low
inclination, and at limited temporal sampling, such a wind would produce a
seemingly random polarization of the type observed in the other three stars.
Time-resolved spectropolarimetric monitoring of LBVs is therefore required to
determine if LBV winds are axi-symmetric in general.
  The high fraction of LBVs ($>$ 50%) showing intrinsic polarization is to be
compared with the lower $\sim$ 20-25 % for similar studies of their
evolutionary neighbours, O supergiants and Wolf-Rayet stars. We anticipate that
this higher incidence is due to the lower effective gravities of the LBVs,
coupled with their variable temperatures within the bi-stability jump regime.
This is also consistent with the higher incidence of wind asphericity that we
find in LBVs with strong H$\alpha$ emission and recent (last $\sim$ 10 years)
strong variability.",2005-05-17T12:22:14Z
