Topic,Timestamp,Words,Frequency
0,2005,"infectiousness, dynavax, meters, belated, plotkin",4
0,2006,"vaccine, lyme, dextrose, toil, distrusted",7
0,2007,"sthr, klaus, novartis, vaccine, vaccines",7
0,2008,"vaccine, standardizes, selfdefence, oncequiet, 1966",8
0,2009,"jabs, vaccine, pandemics, flu, creditors",9
0,2010,"hindsight, meningitis, pandemic, immunization, meningococcal",6
0,2011,"vaccines, vaccine, unfounded, rolls, measles",12
0,2012,"fiveinone, perfluorinated, grabenstein, coronavirus, wrath",8
0,2013,"coronavirus, saudi, arabia, stalled, chinesemade",10
0,2014,"vaccines, parents, pandemic, vaccine, coronavirus",13
0,2015,"vaccine, measles, berkley, foodborne, seth",11
0,2016,"sally, frampton, shuttleworth, spearheaded, taiwans",2
0,2017,"vaccines, vaccinecommission, vaccine, admissible, heartbreak",7
0,2018,"vaccine, vaccines, immunization, imposition, rambaut",10
0,2019,"vaccination, measles, immunization, compulsory, vaccines",19
0,2020,"coronavirus, covid19, covid, pandemic, vaccine",472
0,2021,"covid, vaccines, covid19, vaccine, coronavirus",474
0,2022,"covid, covid19, pandemic, vaccine, coronavirus",220
0,2023,"discriminatory, attitudes, unvaccinated, covid19, pandemic",4
1,2005,"climate, kyoto, emissions, change, conference",15
1,2006,"climate, emissions, change, carbon, warming",54
1,2007,"climate, emissions, change, carbon, warming",90
1,2008,"climate, emissions, change, energy, carbon",50
1,2009,"climate, copenhagen, emissions, energy, change",114
1,2010,"climate, emissions, change, ipcc, warming",64
1,2011,"climate, emissions, durban, change, energy",60
1,2012,"climate, kyoto, energy, emissions, change",52
1,2013,"climate, emissions, warming, uncertainties, change",44
1,2014,"climate, emissions, energy, change, greenhousegas",46
1,2015,"climate, paris, emissions, talks, change",104
1,2016,"climate, emissions, paris, warming, agreement",44
1,2017,"climate, energy, warming, emissions, trump",50
1,2018,"climate, emissions, warming, paris, carbon",48
1,2019,"climate, emissions, warming, change, carbon",65
1,2020,"climate, emissions, transfers, carbon, financial",34
1,2021,"climate, cop26, emissions, carbon, change",83
1,2022,"climate, emissions, warming, change, scco2",88
1,2023,"textbooks, 2000s, shrinks, sections, farther",1
2,2005,"drug, biotech, biotechnology, patent, vioxx",20
2,2006,"drug, patent, hoag, hannah, biotechnology",53
2,2007,"drug, patent, wadman, meredith, drugs",66
2,2008,"drug, biotech, pharma, industry, trials",49
2,2009,"biotech, drug, industry, patent, companies",54
2,2010,"biotech, drug, industry, patents, pharmaceutical",48
2,2011,"drug, patent, traditional, pharmaceutical, medicine",47
2,2012,"drug, patent, industry, pharmaceutical, trials",60
2,2013,"biotechnology, drug, patents, patent, tcm",36
2,2014,"drug, patent, biotech, trials, clinicaltrial",28
2,2015,"biotech, drug, patent, trials, companies",32
2,2016,"drug, drugs, trials, clinical, biotech",37
2,2017,"drug, trials, agency, industry, clinical",34
2,2018,"drug, trials, biotech, medicine, clinical",30
2,2019,"drug, biosimilars, preprints, medrxiv, drugs",21
2,2020,"multispecific, drug, industry, pharmaceutical, drugs",14
2,2021,"patenting, drug, trials, highprofile, redouble",12
2,2022,"trials, mescaline, pharmaceutical, clinical, drug",15
3,2005,"mammals, echinodermlike, trackway, fossil, dinosaurs",10
3,2006,"fossil, dinosaur, fin, vertebrates, dinosaurs",33
3,2007,"hagfish, dinosaur, patterning, fossils, dinosaurs",25
3,2008,"teeth, fossil, evolutionary, vertebrates, vertebrate",29
3,2009,"fossil, dinosaur, incisoscutum, vertebrates, fossils",30
3,2010,"fossils, dinosaur, feathers, dinosaurs, fossil",33
3,2011,"vertebrates, fossil, dinosaur, cambrian, dinosaurs",52
3,2012,"dinosaurs, dinosaur, vertebrate, fossil, vertebrates",42
3,2013,"jurassic, vertebrates, fossil, dinosaur, dinosaurs",49
3,2014,"vertebrates, tetrapods, fossil, dinosaur, mammals",45
