Topic,Timestamp,Words,Frequency,Name
0,2005-09-01,"dynavax, plotkin, vaccinology, directors, epidemiologist",1,0_covid_coronavirus_covid19_vaccine
0,2005-10-01,"belated, acknowledgement, bushs, rhetoric, welcome",1,0_covid_coronavirus_covid19_vaccine
0,2005-11-01,"meters, infectiousness, sneeze, infectious, superspreading",2,0_covid_coronavirus_covid19_vaccine
0,2006-01-01,"opposition, faith, lose, children, public",1,0_covid_coronavirus_covid19_vaccine
0,2006-02-01,"lyme, vaccine, dextrose, distrusted, skiers",3,0_covid_coronavirus_covid19_vaccine
0,2006-04-01,"toil, fluvaccine, shortfall, stock, makers",1,0_covid_coronavirus_covid19_vaccine
0,2006-06-01,"unnoticed, preparedness, criticized, brazilian, fears",1,0_covid_coronavirus_covid19_vaccine
0,2006-09-01,"inconclusive, sars, worked, proof, carried",1,0_covid_coronavirus_covid19_vaccine
0,2007-03-01,"tuscan, siena, countryside, novartis, premier",1,0_covid_coronavirus_covid19_vaccine
0,2007-04-01,"infectiousdisease, holistic, capturing, ignore, epidemics",1,0_covid_coronavirus_covid19_vaccine
0,2007-05-01,"sthr, klaus, franchises, novartis, mandavilli",2,0_covid_coronavirus_covid19_vaccine
0,2007-06-01,"unreasonable, confuse, disastrous, verdict, consensus",1,0_covid_coronavirus_covid19_vaccine
0,2007-09-01,"vaccinologist, blakemore, borysiewicz, imperial, college",2,0_covid_coronavirus_covid19_vaccine
0,2008-02-01,"nonprofit, italy, neglected, company, opens",1,0_covid_coronavirus_covid19_vaccine
0,2008-03-01,"selfdefence, oncequiet, dull, heady, worthy",2,0_covid_coronavirus_covid19_vaccine
0,2008-04-01,"standardizes, blessing, nomenclature, politically, gps",2,0_covid_coronavirus_covid19_vaccine
0,2008-06-01,"airways, measles, attacks, doesnt, thought",1,0_covid_coronavirus_covid19_vaccine
0,2008-12-01,"1966, terrified, sargent, immunologists, fare",2,0_covid_coronavirus_covid19_vaccine
0,2009-04-01,"lea, meningitis, susan, coat, clues",1,0_covid_coronavirus_covid19_vaccine
0,2009-05-01,"glossed, piled, credibility, barry, authority",1,0_covid_coronavirus_covid19_vaccine
0,2009-07-01,"creditors, flujab, niaid, puts, fluvaccine",4,0_covid_coronavirus_covid19_vaccine
0,2009-08-01,"agentbased, epstein, irrational, confronting, joshua",2,0_covid_coronavirus_covid19_vaccine
0,2009-09-01,"afflict, poorest, jabs, venture, cheap",1,0_covid_coronavirus_covid19_vaccine
0,2010-03-01,"outstrip, looms, immunization, cash, demand",1,0_covid_coronavirus_covid19_vaccine
0,2010-05-01,"sthr, prepandemic, klaus, novartis, vaccinate",1,0_covid_coronavirus_covid19_vaccine
0,2010-06-01,"hindsight, recriminations, retrospective, pandemic, handling",1,0_covid_coronavirus_covid19_vaccine
0,2010-08-01,"handled, mistakes, well, outbreak, flu",1,0_covid_coronavirus_covid19_vaccine
0,2010-11-01,"meningitis, meningococcal, rolled, weapon, affordable",1,0_covid_coronavirus_covid19_vaccine
0,2010-12-01,"staving, dakota, turkey, epidemics, epidemiology",1,0_covid_coronavirus_covid19_vaccine
0,2011-02-01,"meatgrowing, pneumococcal, rolls, closes, flare",2,0_covid_coronavirus_covid19_vaccine
0,2011-03-01,"enemy, arguably, achievement, vaccines, greatest",1,0_covid_coronavirus_covid19_vaccine
0,2011-05-01,"measles, fencesitters, vaccines, consigned, leask",4,0_covid_coronavirus_covid19_vaccine
0,2011-06-01,"unfounded, collapsed, criticized, vaccine, fuels",1,0_covid_coronavirus_covid19_vaccine
0,2011-08-01,"very, vaccines, harm, clean, given",1,0_covid_coronavirus_covid19_vaccine
0,2011-09-01,"underfives, secondbiggest, bachmann, stoke, worrisome",2,0_covid_coronavirus_covid19_vaccine
0,2011-12-01,"lethally, suddenly, exposing, arrived, prepared",1,0_covid_coronavirus_covid19_vaccine
0,2012-01-01,"perfluorinated, grabenstein, tetanus, diphtheria, biodefence",2,0_covid_coronavirus_covid19_vaccine
0,2012-02-01,"fiveinone, seizure, emphasize, carries, absolute",1,0_covid_coronavirus_covid19_vaccine
0,2012-05-01,"cook, beef, broader, critics, storm",1,0_covid_coronavirus_covid19_vaccine
0,2012-10-01,"opting, legislative, veterans, tackle, vaccinations",2,0_covid_coronavirus_covid19_vaccine
0,2012-11-01,"wrath, equipment, colonies, staff, storms",1,0_covid_coronavirus_covid19_vaccine
0,2012-12-01,"ramped, alert, eastern, surveillance, middle",1,0_covid_coronavirus_covid19_vaccine
0,2013-01-01,"pits, saudi, linger, arabia, authorities",1,0_covid_coronavirus_covid19_vaccine
0,2013-03-01,"reservoirs, found, coronavirus, animal, virus",1,0_covid_coronavirus_covid19_vaccine
0,2013-04-01,"ricin, incidents, scary, renew, stalled",1,0_covid_coronavirus_covid19_vaccine
0,2013-05-01,"somali, redefined, saudi, arabia, famine",2,0_covid_coronavirus_covid19_vaccine
0,2013-09-01,"alleged, refute, charity, firmly, organizers",2,0_covid_coronavirus_covid19_vaccine
0,2013-10-01,"chinesemade, endorsement, rees, marketplace, derailed",2,0_covid_coronavirus_covid19_vaccine
0,2013-12-01,"sanctions, shortfall, shortage, iran, medicines",1,0_covid_coronavirus_covid19_vaccine
0,2014-01-01,"mers, biologists, faster, vaccines, coronavirus",1,0_covid_coronavirus_covid19_vaccine
0,2014-02-01,"benin, antimeningitis, 150000, endure, delivers",1,0_covid_coronavirus_covid19_vaccine
0,2014-03-01,"vaccines, publichealth, vaccine, sthr, scully",6,0_covid_coronavirus_covid19_vaccine
0,2014-04-01,"sebelius, secretarys, flubbed, medicaid, obamacare",1,0_covid_coronavirus_covid19_vaccine
0,2014-05-01,"ramp, biodefence, facilities, demand, effort",1,0_covid_coronavirus_covid19_vaccine
0,2014-06-01,"sitting, noses, hype, danger, pandemics",1,0_covid_coronavirus_covid19_vaccine
0,2014-07-01,"infestations, mycoplasma, costing, dollars, contamination",1,0_covid_coronavirus_covid19_vaccine
0,2014-08-01,"antibleeding, nixing, hemorrhaging, parents, shots",1,0_covid_coronavirus_covid19_vaccine
0,2015-02-01,"measles, outbreak, schaffner, pardis, yozwiak",3,0_covid_coronavirus_covid19_vaccine
0,2015-04-01,"foodborne, globalhealth, burgeoning, tactics, supplement",2,0_covid_coronavirus_covid19_vaccine
0,2015-05-01,"neediest, gavi, antivaccine, berkley, sentiment",1,0_covid_coronavirus_covid19_vaccine
0,2015-07-01,"realistic, neglected, outbreaks, risks, communication",1,0_covid_coronavirus_covid19_vaccine
0,2015-10-01,"widereaching, berkley, seth, indicator, coverage",1,0_covid_coronavirus_covid19_vaccine
0,2015-11-01,"meningitis, kaslow, 617618, rtss, cautious",2,0_covid_coronavirus_covid19_vaccine
0,2015-12-01,"larson, hpv, accept, heidi, confidence",1,0_covid_coronavirus_covid19_vaccine
0,2016-01-01,"spearheaded, taiwans, epidemiologist, hero, vicepresident",1,0_covid_coronavirus_covid19_vaccine
0,2016-06-01,"sally, shuttleworth, frampton, citizen, involvement",1,0_covid_coronavirus_covid19_vaccine
0,2017-01-01,"vaccinecommission, vaccines, prep, stockpile, debunked",3,0_covid_coronavirus_covid19_vaccine
0,2017-02-01,"ewen, callaway, chronicles, rubella, extols",1,0_covid_coronavirus_covid19_vaccine
0,2017-06-01,"admissible, crazy, uproar, exaggerated, scholars",1,0_covid_coronavirus_covid19_vaccine
0,2017-07-01,"stamping, drugresistant, immunization, promoted, started",1,0_covid_coronavirus_covid19_vaccine
0,2017-11-01,"heartbreak, guardians, wreak, havoc, damaging",1,0_covid_coronavirus_covid19_vaccine
0,2018-01-01,"imposition, compulsory, barres, proactive, vaccinations",2,0_covid_coronavirus_covid19_vaccine
0,2018-02-01,"hasten, chikungunya, advocates, neglected, officials",1,0_covid_coronavirus_covid19_vaccine
0,2018-03-01,"sepsis, preliminary, volunteers, searches, overlooked",2,0_covid_coronavirus_covid19_vaccine
0,2018-06-01,"rambaut, kristian, andersen, overblown, undermined",1,0_covid_coronavirus_covid19_vaccine
0,2018-08-01,"mandated, dent, enjoy, scandal, immunization",1,0_covid_coronavirus_covid19_vaccine
